title,address,commune,commune_encoded,district,district_encoded,province,province_encoded,paper,price_by_area,latitude,longitude
"Bán căn hộ chung cư CT4, KDDT Thạch Bàn, Long Biên","Tòa B chung cư CT4 Khu đô thị Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",Phường Thạch Bàn,95,Quận Long Biên,20,Hà Nội,0,1,18947368.0,21.0189426,105.9217873
Bán căn Kosmo Tây Hồ 79m2 3.2 tỷ Hỗ trợ LS 0%,"Đường Xuân La, Phường Xuân Tảo, Quận Bắc Từ Liêm, Hà Nội",Phường Xuân Tảo,124,Quận Bắc Từ Liêm,14,Hà Nội,0,1,40506329.0,21.0595437,105.7975099
Tiếp nhận hồ sơ đợt 2 dự án NHS Phương Canh,"Đường Quốc lộ 32, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội",Phường Phương Canh,74,Quận Nam Từ Liêm,21,Hà Nội,0,0,16800000.0,21.0538059,105.7332727
MỞ BÁN CHUNG CƯ HH1 HỒ TÂY CÓ SỔ HỒNG 1-2PN 30-50M,"Đường Ven Hồ, Phường Bưởi, Quận Tây Hồ, Hà Nội",Phường Bưởi,2,Quận Tây Hồ,23,Hà Nội,0,1,21666667.0,21.012183,105.8410907
Chung cư Green Stars 60m² 2PN,"Số 234, Số 234 Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Phường Cổ Nhuế 1,10,Quận Bắc Từ Liêm,14,Hà Nội,0,1,42500000.0,21.0530292,105.7800956
Chung cư SME Hoàng Gia Tô Hiệu Hà Đông 96 m 2 PN,"3306, Tô Hiệu, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội",Phường Nguyễn Trãi,54,Quận Hà Đông,19,Hà Nội,0,0,17604167.0,20.9685829,105.779849
Chỉ 1.02 tỷ Căn 2 ngủ tại CT7 The Spark Dương Nội,"Đường Tố Hữu, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Phường Yên Nghĩa,127,Quận Hà Đông,19,Hà Nội,0,1,17894737.0,20.9903367,105.7827237
CĂN HỘ G2 GIANG VĂN MINH BA ĐÌNH 50M2 2 PN CÓ ĐỒ,"Đường Giang Văn Minh, Phường Giảng Võ, Quận Ba Đình, Hà Nội",Phường Giảng Võ,18,Quận Ba Đình,13,Hà Nội,0,1,10000000.0,21.032162,105.8270073
Căn hộ mini Tân Mai HN 650 triệu,"22, Đường Lương Khánh Thiện, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Phường Tân Mai,109,Quận Hoàng Mai,18,Hà Nội,0,0,25000000.0,20.985572,105.8509487
Chung cư Quận Bắc Từ Liêm 72.39m² 2PN,"234, 234 Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Phường Cổ Nhuế 1,10,Quận Bắc Từ Liêm,14,Hà Nội,0,1,41666667.0,21.0530292,105.7800956
Cần bán gấp căn hộ 31 Lê Văn Lương,"Đường Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Phường Nhân Chính,61,Quận Thanh Xuân,22,Hà Nội,0,1,360000.0,21.0042496,105.8033839
Chính chủ cần bán căn hộ 2 ngủ rộng 63m giá 1.19tỷ,"Đường Linh Đàm, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Phường Hoàng Liệt,19,Quận Hoàng Mai,18,Hà Nội,0,0,18888889.0,20.9713643,105.8280009
Chung cư Goldmark City_Khu Ruby 78.5m² 2PN,"136, 136 Đường Hồ Tùng Mậu, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Phường Phú Diễn,63,Quận Bắc Từ Liêm,14,Hà Nội,0,1,38461538.0,21.0421897,105.7671599
Cắt lỗ căn hộ 3PN bên P12 thuộc tầng trung,"458, 458 Đường Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",Phường Vĩnh Tuy,120,Quận Hai Bà Trưng,16,Hà Nội,0,1,40517241.0,20.9972755,105.8671037
Chung cư Imperial Plaza (360 Giải Phóng) 78m² 2PN,"Đường Giải Phóng, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",Phường Phương Liệt,76,Quận Thanh Xuân,22,Hà Nội,0,0,32692308.0,20.9979677,105.8411428
CCMN Y99 HOÀNG HOA THÁM - TRÍCH SÀI Ở NGAY(30-50M),"Y99, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",Phường Vĩnh Phúc,119,Quận Ba Đình,13,Hà Nội,0,1,19696970.0,21.0426226,105.8084956
BÁN CHUNG CƯ LÁNG HẠ-HOÀNG CẦU GIÁ RẺ 1-2PN 28-62M,"Đường Hoàng Cầu, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Phường Láng Hạ,38,Quận Đống Đa,24,Hà Nội,0,1,19642857.0,21.0164891,105.8227091
Sang nhượng căn hộ smart city đại mỗ,"Đường Đại lộ Thăng Long, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",Phường Đại Mỗ,135,Quận Nam Từ Liêm,21,Hà Nội,0,1,33035714.0,20.991307,105.7571249
Chung cư The Emerald 95m² 3 PN,"Lô CT08, Lô CT08 Đường Đình Thôn, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 1,48,Quận Nam Từ Liêm,21,Hà Nội,0,1,31578947.0,21.0169266,105.7743279
Chính chủ bán căn hộ 3 ngủ 100m giá rẻ 2.1 tỷ,"Đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Phường Mễ Trì,46,Quận Nam Từ Liêm,21,Hà Nội,0,1,21000000.0,21.0174168,105.7820991
MỞ BÁN CC T2 THÁI THỊNH GIÁ RẺ TỪ 500TR/CĂN Ở NGAY,"Đường Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",Phường Thịnh Quang,97,Quận Đống Đa,24,Hà Nội,0,1,19354839.0,21.0104484,105.8184403
"Gấp Gấp Gấp, bán nhà Phố Phan Văn Trường 70m2","Đường Phan Văn Trường, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Phường Dịch Vọng,13,Quận Cầu Giấy,15,Hà Nội,0,1,26000000.0,21.0390913,105.7860958
Chung cư HH4 Linh Đàm 68m² 2PN,"Đường Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Phường Hoàng Liệt,19,Quận Hoàng Mai,18,Hà Nội,0,0,19852941.0,20.9599379,105.8337546
BÁN CHUNG CƯ N1 HÀO NAM ĐỐNG ĐA 30-50m2 Ở NGAY,"Đường Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Phường Ô Chợ Dừa,131,Quận Đống Đa,24,Hà Nội,0,1,10638298.0,21.0253784,105.8272979
BÁN CHCC NOXH NHS,"Đường 32, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội",Phường Phương Canh,74,Quận Nam Từ Liêm,21,Hà Nội,0,0,16784314.0,21.0488042,105.7425053
CCMN AB1 TÔ HIỆU - NG K TOÀN - NGHĨA ĐÔ Ở NGAY ĐĐỒ,"AB1, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",Phường Nghĩa Đô,52,Quận Cầu Giấy,15,Hà Nội,0,1,18181818.0,21.0500885,105.8066895
CHUNG CƯ MINI CAO CẤP HỒ TÂY 30-50m² 1 PN SỔ HỒNG,"Đường Ven Hồ, Phường Bưởi, Quận Tây Hồ, Hà Nội",Phường Bưởi,2,Quận Tây Hồ,23,Hà Nội,0,1,20000000.0,21.012183,105.8410907
QUỸ CĂN NỘI BỘ CHUNG CƯ MIPEC XUÂN THỦY GIÁ TỐT,"122-124 đường Xuân Thủy, phường Dịch Vọng Hậu, quận Cầu Giấy, thành phố Hà Nội., Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Phường Dịch Vọng,13,Quận Cầu Giấy,15,Hà Nội,0,0,45744681.0,21.0367067,105.7863938
"Chung cư GoldSeason 47 Nguyễn Tuân -   Thanh Xuân,","47, 47 Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",Phường Thanh Xuân Trung,91,Quận Thanh Xuân,22,Hà Nội,0,0,25185185.0,20.9948414,105.8060662
CHUNG CƯ IEC THANH TRÌ 55M2 2PN CHỈ 300TR,"Đường Trần Thủ Độ, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",Xã Tứ Hiệp,173,Huyện Thanh Trì,8,Hà Nội,0,0,5454545.0,20.9559069,105.8468493
BÁN CHUNG CƯ MINI XÂY MỚI  THUY KHUÊ-12 TRÍCH SÀI,"THUY KHUÊ, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",Phường Thụy Khuê,99,Quận Tây Hồ,23,Hà Nội,0,1,25454545.0,21.046133,105.8246266
"Chính chủ bán gấp CH Mỹ Đình-2PN-Full nt-2,2 tỷ","Số 2, Số 2 Đường Lê Đức Thọ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 1,48,Quận Nam Từ Liêm,21,Hà Nội,0,1,31428571.0,21.0183106,105.7691467
"Không thể bỏ qua, căn hộ góc 72.3m2 full nội thất","Đường Phùng Hưng, Phường Phúc La, Quận Hà Đông, Hà Nội",Phường Phúc La,70,Quận Hà Đông,19,Hà Nội,0,1,13472222.0,20.9684049,105.786636
Căn hộ 2 PN Vinhomes Smart City chỉ với 520tr (30%,"Đường Đại lộ Thăng Long, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Phường Tây Mỗ,110,Quận Nam Từ Liêm,21,Hà Nội,0,0,31481481.0,21.0095457,105.7439913
bán CHCC tại dự án An bình city,"234, 234 Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Phường Cổ Nhuế 1,10,Quận Bắc Từ Liêm,14,Hà Nội,0,1,37349398.0,21.0530292,105.7800956
Chung cư HH2 Linh Đàm 67m² 2PN,"Đường Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Phường Hoàng Liệt,19,Quận Hoàng Mai,18,Hà Nội,0,0,14925373.0,20.9599379,105.8337546
Bán căn góc chung cư quận Thanh xuân,"Đường Hoàng Minh Giám, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Phường Nhân Chính,61,Quận Thanh Xuân,22,Hà Nội,0,1,25450000.0,21.004945,105.7980865
Chung cư The Emerald 102m² 3PN full đồ 2.85 tỷ,"Lô CT08, Lô CT08 Đường Đình Thôn, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 1,48,Quận Nam Từ Liêm,21,Hà Nội,0,0,27941176.0,21.0169266,105.7743279
Chung cư Green Bay 63m² 2PN full nội thất 2.55 tỷ,"Số 7, Số 7 Đường Đại lộ Thăng Long, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Phường Mễ Trì,46,Quận Nam Từ Liêm,21,Hà Nội,0,0,40476190.0,21.0041237,105.7819569
Chung cư Vinhomes Green Bay 28m² 1PN giá 965tr,"Số 7, Số 7 Đường Đại lộ Thăng Long, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Phường Mễ Trì,46,Quận Nam Từ Liêm,21,Hà Nội,0,0,34464286.0,21.0041237,105.7819569
"Chuyển liền kề, bán CH 95,3m2 tầng Trung The Pride","Đường Lê Văn Lương, Phường La Khê, Quận Hà Đông, Hà Nội",Phường La Khê,34,Quận Hà Đông,19,Hà Nội,0,1,20526316.0,21.0050126,105.8040481
Chung cư Goldmark City (Sky Park) 89m² 3PN,"136, 136 Đường Hồ Tùng Mậu, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Phường Phú Diễn,63,Quận Bắc Từ Liêm,14,Hà Nội,0,1,25280899.0,21.0421897,105.7671599
GIÁ QUÁ HẤP DẪN NOXH MÀ CÓ BỂ BƠI 500M2 CHỈ 300TR,"Đường Trần Thủ Độ, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",Phường Giáp Bát,17,Quận Hoàng Mai,18,Hà Nội,0,1,5000000.0,20.9587688,105.8463162
CĂN GÓC VIEW  CÔNG VIÊN - AEON MALL TẠI FLC GARDEN,"Đường 70, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",Phường Đại Mỗ,135,Quận Nam Từ Liêm,21,Hà Nội,0,0,4838710.0,20.9987082,105.7515087
92m2 căn hộ cao cấp Hà Đô Park View - hoàn thiện,"Đường Duy Tân, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Phường Dịch Vọng,13,Quận Cầu Giấy,15,Hà Nội,0,1,32608696.0,21.0309144,105.7839062
"ĐÓNG 50% NHẬN NHÀ NGAY, CĂN GÓC 2 MẶT THOÁNG 129M2","136, 136 Đường Hồ Tùng Mậu, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Phường Phú Diễn,63,Quận Bắc Từ Liêm,14,Hà Nội,0,0,27272727.0,21.0421897,105.7671599
"Bán căn hộ T04 Times, 2PN, có nội thất,","458, 458 Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Phường Minh Khai,45,Quận Hai Bà Trưng,16,Hà Nội,0,0,33333333.0,21.0042501,105.8695696
BÁN CĂN HỘ CHUNG CƯ D25 THỔ QUAN_ĐỐNG ĐA. GIÁ RẺ,"Đường Thổ Quan, Phường Thổ Quan, Quận Đống Đa, Hà Nội",Phường Thổ Quan,98,Quận Đống Đa,24,Hà Nội,0,1,15000000.0,21.0169746,105.834167
CHUNG CƯ D15 T MAI - NG Đ CẢNH - H Đ LỪ Ở NGAY,"Đường Tân Mai||1018, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",Phường Tương Mai,112,Quận Hoàng Mai,18,Hà Nội,0,1,18181818.0,20.9836409,105.8517855
Chung cư HPC Landmark 105 100m² 3PN nhận nhà ngay,"Đường Tố Hữu, Phường La Khê, Quận Hà Đông, Hà Nội",Phường La Khê,34,Quận Hà Đông,19,Hà Nội,0,0,23000000.0,20.9903367,105.7827237
"Bán căn hộ chung cư CT4, KDDT Thạch Bàn, Long Biên","Tòa B chung cư CT4 Khu đô thị Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",Phường Thạch Bàn,95,Quận Long Biên,20,Hà Nội,0,1,18947368.0,21.0189426,105.9217873
Bán căn Kosmo Tây Hồ 79m2 3.2 tỷ Hỗ trợ LS 0%,"Đường Xuân La, Phường Xuân Tảo, Quận Bắc Từ Liêm, Hà Nội",Phường Xuân Tảo,124,Quận Bắc Từ Liêm,14,Hà Nội,0,1,40506329.0,21.0595437,105.7975099
Tiếp nhận hồ sơ đợt 2 dự án NHS Phương Canh,"Đường Quốc lộ 32, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội",Phường Phương Canh,74,Quận Nam Từ Liêm,21,Hà Nội,0,0,16800000.0,21.0538059,105.7332727
MỞ BÁN CHUNG CƯ HH1 HỒ TÂY CÓ SỔ HỒNG 1-2PN 30-50M,"Đường Ven Hồ, Phường Bưởi, Quận Tây Hồ, Hà Nội",Phường Bưởi,2,Quận Tây Hồ,23,Hà Nội,0,1,21666667.0,21.012183,105.8410907
Chung cư Green Stars 60m² 2PN,"Số 234, Số 234 Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Phường Cổ Nhuế 1,10,Quận Bắc Từ Liêm,14,Hà Nội,0,1,42500000.0,21.0530292,105.7800956
Chung cư SME Hoàng Gia Tô Hiệu Hà Đông 96 m 2 PN,"3306, Tô Hiệu, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội",Phường Nguyễn Trãi,54,Quận Hà Đông,19,Hà Nội,0,0,17604167.0,20.9685829,105.779849
Chỉ 1.02 tỷ Căn 2 ngủ tại CT7 The Spark Dương Nội,"Đường Tố Hữu, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Phường Yên Nghĩa,127,Quận Hà Đông,19,Hà Nội,0,1,17894737.0,20.9903367,105.7827237
CĂN HỘ G2 GIANG VĂN MINH BA ĐÌNH 50M2 2 PN CÓ ĐỒ,"Đường Giang Văn Minh, Phường Giảng Võ, Quận Ba Đình, Hà Nội",Phường Giảng Võ,18,Quận Ba Đình,13,Hà Nội,0,1,10000000.0,21.032162,105.8270073
Căn hộ mini Tân Mai HN 650 triệu,"22, Đường Lương Khánh Thiện, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Phường Tân Mai,109,Quận Hoàng Mai,18,Hà Nội,0,0,25000000.0,20.985572,105.8509487
Chung cư Quận Bắc Từ Liêm 72.39m² 2PN,"234, 234 Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Phường Cổ Nhuế 1,10,Quận Bắc Từ Liêm,14,Hà Nội,0,1,41666667.0,21.0530292,105.7800956
Cần bán gấp căn hộ 31 Lê Văn Lương,"Đường Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Phường Nhân Chính,61,Quận Thanh Xuân,22,Hà Nội,0,1,360000.0,21.0042496,105.8033839
Chính chủ cần bán căn hộ 2 ngủ rộng 63m giá 1.19tỷ,"Đường Linh Đàm, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Phường Hoàng Liệt,19,Quận Hoàng Mai,18,Hà Nội,0,0,18888889.0,20.9713643,105.8280009
Chung cư Goldmark City_Khu Ruby 78.5m² 2PN,"136, 136 Đường Hồ Tùng Mậu, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Phường Phú Diễn,63,Quận Bắc Từ Liêm,14,Hà Nội,0,1,38461538.0,21.0421897,105.7671599
Cắt lỗ căn hộ 3PN bên P12 thuộc tầng trung,"458, 458 Đường Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",Phường Vĩnh Tuy,120,Quận Hai Bà Trưng,16,Hà Nội,0,1,40517241.0,20.9972755,105.8671037
Chung cư Imperial Plaza (360 Giải Phóng) 78m² 2PN,"Đường Giải Phóng, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",Phường Phương Liệt,76,Quận Thanh Xuân,22,Hà Nội,0,0,32692308.0,20.9979677,105.8411428
CCMN Y99 HOÀNG HOA THÁM - TRÍCH SÀI Ở NGAY(30-50M),"Y99, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",Phường Vĩnh Phúc,119,Quận Ba Đình,13,Hà Nội,0,1,19696970.0,21.0426226,105.8084956
BÁN CHUNG CƯ LÁNG HẠ-HOÀNG CẦU GIÁ RẺ 1-2PN 28-62M,"Đường Hoàng Cầu, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Phường Láng Hạ,38,Quận Đống Đa,24,Hà Nội,0,1,19642857.0,21.0164891,105.8227091
Sang nhượng căn hộ smart city đại mỗ,"Đường Đại lộ Thăng Long, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",Phường Đại Mỗ,135,Quận Nam Từ Liêm,21,Hà Nội,0,1,33035714.0,20.991307,105.7571249
Chung cư The Emerald 95m² 3 PN,"Lô CT08, Lô CT08 Đường Đình Thôn, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 1,48,Quận Nam Từ Liêm,21,Hà Nội,0,1,31578947.0,21.0169266,105.7743279
Chính chủ bán căn hộ 3 ngủ 100m giá rẻ 2.1 tỷ,"Đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Phường Mễ Trì,46,Quận Nam Từ Liêm,21,Hà Nội,0,1,21000000.0,21.0174168,105.7820991
MỞ BÁN CC T2 THÁI THỊNH GIÁ RẺ TỪ 500TR/CĂN Ở NGAY,"Đường Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",Phường Thịnh Quang,97,Quận Đống Đa,24,Hà Nội,0,1,19354839.0,21.0104484,105.8184403
"Gấp Gấp Gấp, bán nhà Phố Phan Văn Trường 70m2","Đường Phan Văn Trường, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Phường Dịch Vọng,13,Quận Cầu Giấy,15,Hà Nội,0,1,26000000.0,21.0390913,105.7860958
Chung cư HH4 Linh Đàm 68m² 2PN,"Đường Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Phường Hoàng Liệt,19,Quận Hoàng Mai,18,Hà Nội,0,0,19852941.0,20.9599379,105.8337546
BÁN CHUNG CƯ N1 HÀO NAM ĐỐNG ĐA 30-50m2 Ở NGAY,"Đường Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Phường Ô Chợ Dừa,131,Quận Đống Đa,24,Hà Nội,0,1,10638298.0,21.0253784,105.8272979
BÁN CHCC NOXH NHS,"Đường 32, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội",Phường Phương Canh,74,Quận Nam Từ Liêm,21,Hà Nội,0,0,16784314.0,21.0488042,105.7425053
CCMN AB1 TÔ HIỆU - NG K TOÀN - NGHĨA ĐÔ Ở NGAY ĐĐỒ,"AB1, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",Phường Nghĩa Đô,52,Quận Cầu Giấy,15,Hà Nội,0,1,18181818.0,21.0500885,105.8066895
CHUNG CƯ MINI CAO CẤP HỒ TÂY 30-50m² 1 PN SỔ HỒNG,"Đường Ven Hồ, Phường Bưởi, Quận Tây Hồ, Hà Nội",Phường Bưởi,2,Quận Tây Hồ,23,Hà Nội,0,1,20000000.0,21.012183,105.8410907
QUỸ CĂN NỘI BỘ CHUNG CƯ MIPEC XUÂN THỦY GIÁ TỐT,"122-124 đường Xuân Thủy, phường Dịch Vọng Hậu, quận Cầu Giấy, thành phố Hà Nội., Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Phường Dịch Vọng,13,Quận Cầu Giấy,15,Hà Nội,0,0,45744681.0,21.0367067,105.7863938
"Chung cư GoldSeason 47 Nguyễn Tuân -   Thanh Xuân,","47, 47 Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",Phường Thanh Xuân Trung,91,Quận Thanh Xuân,22,Hà Nội,0,0,25185185.0,20.9948414,105.8060662
CHUNG CƯ IEC THANH TRÌ 55M2 2PN CHỈ 300TR,"Đường Trần Thủ Độ, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội",Xã Tứ Hiệp,173,Huyện Thanh Trì,8,Hà Nội,0,0,5454545.0,20.9559069,105.8468493
BÁN CHUNG CƯ MINI XÂY MỚI  THUY KHUÊ-12 TRÍCH SÀI,"THUY KHUÊ, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",Phường Thụy Khuê,99,Quận Tây Hồ,23,Hà Nội,0,1,25454545.0,21.046133,105.8246266
"Chính chủ bán gấp CH Mỹ Đình-2PN-Full nt-2,2 tỷ","Số 2, Số 2 Đường Lê Đức Thọ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 1,48,Quận Nam Từ Liêm,21,Hà Nội,0,1,31428571.0,21.0183106,105.7691467
"Không thể bỏ qua, căn hộ góc 72.3m2 full nội thất","Đường Phùng Hưng, Phường Phúc La, Quận Hà Đông, Hà Nội",Phường Phúc La,70,Quận Hà Đông,19,Hà Nội,0,1,13472222.0,20.9684049,105.786636
Căn hộ 2 PN Vinhomes Smart City chỉ với 520tr (30%,"Đường Đại lộ Thăng Long, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Phường Tây Mỗ,110,Quận Nam Từ Liêm,21,Hà Nội,0,0,31481481.0,21.0095457,105.7439913
bán CHCC tại dự án An bình city,"234, 234 Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Phường Cổ Nhuế 1,10,Quận Bắc Từ Liêm,14,Hà Nội,0,1,37349398.0,21.0530292,105.7800956
Chung cư HH2 Linh Đàm 67m² 2PN,"Đường Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Phường Hoàng Liệt,19,Quận Hoàng Mai,18,Hà Nội,0,0,14925373.0,20.9599379,105.8337546
Bán căn góc chung cư quận Thanh xuân,"Đường Hoàng Minh Giám, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Phường Nhân Chính,61,Quận Thanh Xuân,22,Hà Nội,0,1,25450000.0,21.004945,105.7980865
Chung cư The Emerald 102m² 3PN full đồ 2.85 tỷ,"Lô CT08, Lô CT08 Đường Đình Thôn, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Phường Mỹ Đình 1,48,Quận Nam Từ Liêm,21,Hà Nội,0,0,27941176.0,21.0169266,105.7743279
Chung cư Green Bay 63m² 2PN full nội thất 2.55 tỷ,"Số 7, Số 7 Đường Đại lộ Thăng Long, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Phường Mễ Trì,46,Quận Nam Từ Liêm,21,Hà Nội,0,0,40476190.0,21.0041237,105.7819569
Chung cư Vinhomes Green Bay 28m² 1PN giá 965tr,"Số 7, Số 7 Đường Đại lộ Thăng Long, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Phường Mễ Trì,46,Quận Nam Từ Liêm,21,Hà Nội,0,0,34464286.0,21.0041237,105.7819569
"Chuyển liền kề, bán CH 95,3m2 tầng Trung The Pride","Đường Lê Văn Lương, Phường La Khê, Quận Hà Đông, Hà Nội",Phường La Khê,34,Quận Hà Đông,19,Hà Nội,0,1,20526316.0,21.0050126,105.8040481
Chung cư Goldmark City (Sky Park) 89m² 3PN,"136, 136 Đường Hồ Tùng Mậu, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Phường Phú Diễn,63,Quận Bắc Từ Liêm,14,Hà Nội,0,1,25280899.0,21.0421897,105.7671599
GIÁ QUÁ HẤP DẪN NOXH MÀ CÓ BỂ BƠI 500M2 CHỈ 300TR,"Đường Trần Thủ Độ, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",Phường Giáp Bát,17,Quận Hoàng Mai,18,Hà Nội,0,1,5000000.0,20.9587688,105.8463162
CĂN GÓC VIEW  CÔNG VIÊN - AEON MALL TẠI FLC GARDEN,"Đường 70, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",Phường Đại Mỗ,135,Quận Nam Từ Liêm,21,Hà Nội,0,0,4838710.0,20.9987082,105.7515087
92m2 căn hộ cao cấp Hà Đô Park View - hoàn thiện,"Đường Duy Tân, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Phường Dịch Vọng,13,Quận Cầu Giấy,15,Hà Nội,0,1,32608696.0,21.0309144,105.7839062
"ĐÓNG 50% NHẬN NHÀ NGAY, CĂN GÓC 2 MẶT THOÁNG 129M2","136, 136 Đường Hồ Tùng Mậu, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Phường Phú Diễn,63,Quận Bắc Từ Liêm,14,Hà Nội,0,0,27272727.0,21.0421897,105.7671599
"Bán căn hộ T04 Times, 2PN, có nội thất,","458, 458 Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Phường Minh Khai,45,Quận Hai Bà Trưng,16,Hà Nội,0,0,33333333.0,21.0042501,105.8695696
BÁN CĂN HỘ CHUNG CƯ D25 THỔ QUAN_ĐỐNG ĐA. GIÁ RẺ,"Đường Thổ Quan, Phường Thổ Quan, Quận Đống Đa, Hà Nội",Phường Thổ Quan,98,Quận Đống Đa,24,Hà Nội,0,1,15000000.0,21.0169746,105.834167
